Âge,Genre,Revenu Annuel,Indice Satisfaction,Type de Produit Préféré
43,Femme,55168.97069541139,2,Vestimentaire
68,Homme,72745.32132615431,7,Alimentaire
44,Homme,85330.64620090465,5,Alimentaire
46,Femme,53114.39031809612,5,Beauté
48,Femme,64129.269585253096,2,Alimentaire
42,Femme,42426.0219766083,3,Alimentaire
38,Femme,49134.43011921177,10,Beauté
33,Homme,79884.17352323336,5,Beauté
42,Femme,29278.304414961618,1,Alimentaire
39,Femme,62444.933274316456,1,Vestimentaire
35,Homme,40347.48893878822,5,Vestimentaire
64,Femme,65582.48991278245,7,Vestimentaire
19,Homme,33569.41279523158,3,Alimentaire
28,Femme,96805.25945399108,5,Électronique
65,Femme,92959.86636834101,10,Électronique
67,Femme,43271.527485835235,7,Beauté
44,Femme,75084.19837725225,2,Vestimentaire
30,Homme,42050.36111124557,8,Électronique
43,Homme,75309.8289190885,2,Beauté
46,Homme,48654.04204149659,5,Électronique
56,Femme,46910.63326784102,8,Alimentaire
46,Femme,25702.45293719908,1,Vestimentaire
24,Homme,43183.01597555151,2,Électronique
42,Homme,29081.540518098416,9,Vestimentaire
35,Femme,34238.30265399108,7,Alimentaire
50,Femme,77382.53893897694,1,Électronique
53,Femme,28830.824697198193,3,Vestimentaire
61,Femme,56513.03477434649,7,Beauté
43,Homme,94268.07455846894,5,Alimentaire
32,Femme,25515.83860864687,8,Vestimentaire
42,Femme,23131.105986701426,9,Beauté
23,Homme,52343.258814602144,3,Électronique
23,Homme,79726.27001436162,4,Vestimentaire
56,Femme,43059.4453740839,2,Alimentaire
24,Femme,38821.67215435754,2,Alimentaire
59,Femme,29280.21538482648,8,Électronique
63,Femme,72300.94158194755,5,Électronique
61,Homme,88335.96068426824,1,Beauté
43,Homme,88479.21289348122,10,Beauté
65,Homme,45142.49769580837,7,Vestimentaire
54,Femme,35555.05374447103,10,Alimentaire
50,Homme,80507.63052595215,5,Électronique
53,Homme,33623.58103333364,1,Électronique
36,Femme,32899.6358286505,7,Alimentaire
57,Homme,54433.537778172446,5,Beauté
41,Femme,70603.41441695647,1,Beauté
46,Femme,57010.68246100467,3,Électronique
65,Homme,70778.27191232893,5,Alimentaire
28,Homme,21841.28002436802,1,Vestimentaire
30,Homme,90527.45997597929,7,Électronique
23,Homme,65894.9253616645,3,Beauté
45,Homme,53686.269670794165,10,Électronique
29,Homme,94991.79048169624,10,Alimentaire
53,Femme,63004.461277290626,4,Beauté
29,Femme,79842.01782310123,10,Électronique
32,Femme,54911.31733130558,1,Alimentaire
30,Homme,87073.82299116919,8,Beauté
43,Femme,83889.6064897544,3,Vestimentaire
50,Homme,88509.49810918813,9,Beauté
57,Femme,60271.67947047116,2,Vestimentaire
67,Homme,36161.051165731966,4,Vestimentaire
64,Femme,77318.85859560003,3,Vestimentaire
57,Femme,42374.639929763085,1,Électronique
46,Femme,68930.68447882822,7,Vestimentaire
54,Homme,90283.25674182543,6,Vestimentaire
20,Homme,92665.21515567876,8,Beauté
62,Femme,33725.4526009931,1,Électronique
18,Femme,43157.36340042595,5,Alimentaire
30,Femme,82191.92216888713,4,Vestimentaire
29,Femme,54371.79104356233,5,Alimentaire
47,Femme,57227.63193656388,6,Alimentaire
48,Homme,26663.444718879655,1,Alimentaire
56,Homme,38625.36316418447,1,Alimentaire
47,Homme,82781.08018805154,4,Électronique
53,Femme,42725.59457452575,4,Alimentaire
39,Femme,63404.757985966244,2,Alimentaire
63,Femme,36461.42764420854,7,Beauté
57,Homme,33816.069052322106,9,Vestimentaire
31,Homme,85918.19023303495,8,Vestimentaire
49,Femme,20105.154820990032,7,Beauté
62,Homme,53273.18119364708,9,Alimentaire
60,Homme,96565.73258000804,2,Électronique
66,Homme,25275.159925574517,6,Vestimentaire
18,Femme,53966.99175702263,2,Beauté
23,Homme,65113.78100357655,6,Vestimentaire
48,Homme,64604.11034034441,2,Beauté
54,Homme,52357.722353457546,7,Beauté
20,Femme,25081.131364402678,10,Électronique
39,Homme,75054.06987213652,4,Vestimentaire
29,Femme,29488.39714512223,4,Électronique
63,Femme,88452.5509830437,6,Électronique
21,Femme,74939.66022496513,5,Beauté
68,Homme,51027.90705579711,7,Électronique
22,Homme,64192.93510198896,2,Beauté
23,Femme,22277.50464393316,4,Électronique
33,Femme,59055.55459650145,1,Alimentaire
22,Femme,45467.9726048383,9,Vestimentaire
24,Homme,92459.26142185608,3,Beauté
31,Homme,40572.750627867594,3,Vestimentaire
44,Homme,81148.35717341409,7,Vestimentaire
64,Femme,87031.69015309797,9,Alimentaire
42,Femme,72955.92329373289,9,Électronique
29,Homme,34594.49373238154,3,Beauté
66,Femme,93898.2511211438,9,Électronique
67,Homme,95400.81435819875,7,Vestimentaire
58,Femme,80580.2176500545,5,Électronique
29,Femme,48328.78037062182,6,Vestimentaire
45,Femme,57950.75620291325,8,Électronique
29,Homme,85226.94992834606,8,Électronique
22,Femme,40256.0123257379,9,Vestimentaire
58,Homme,42432.2205902993,2,Vestimentaire
41,Homme,84724.47593539217,5,Alimentaire
37,Homme,67395.93009606602,4,Beauté
20,Femme,84599.32345128001,1,Alimentaire
67,Homme,83228.54496574221,10,Électronique
39,Femme,50945.87755064617,1,Vestimentaire
49,Homme,88654.8916401797,10,Vestimentaire
25,Homme,26556.43765629712,3,Beauté
33,Femme,20747.399842221323,6,Vestimentaire
21,Femme,85949.7189433531,5,Électronique
51,Homme,61979.459171574184,6,Vestimentaire
20,Homme,69445.07948130966,9,Électronique
18,Homme,31337.33609673457,10,Alimentaire
67,Homme,57941.971480718574,8,Électronique
46,Femme,54200.96585103383,1,Électronique
47,Homme,35092.80688886675,6,Vestimentaire
26,Femme,25575.763869597435,9,Électronique
43,Homme,79700.66178309452,3,Beauté
39,Homme,75091.17948692502,1,Vestimentaire
59,Homme,56191.67799663254,3,Vestimentaire
69,Homme,61653.70082614566,1,Alimentaire
34,Femme,84138.67742447011,7,Beauté
69,Homme,81667.40538331139,6,Électronique
53,Femme,55947.09341758082,4,Beauté
32,Homme,90047.79971707164,4,Électronique
62,Homme,88607.1163405502,8,Alimentaire
46,Homme,22754.168286129345,10,Électronique
62,Femme,68251.64162771519,7,Alimentaire
50,Femme,30454.03872341863,1,Vestimentaire
19,Femme,43943.84145048143,5,Vestimentaire
19,Femme,47782.12699222923,7,Vestimentaire
45,Femme,95505.57932091634,9,Alimentaire
27,Femme,23818.51217623952,4,Électronique
28,Femme,21700.8882037599,7,Beauté
39,Homme,50136.02544310211,10,Électronique
26,Femme,87038.0184724072,6,Vestimentaire
22,Femme,72915.2759907702,9,Électronique
28,Femme,95463.67837572607,1,Beauté
54,Homme,65338.4478979758,8,Vestimentaire
60,Homme,43901.7751848583,6,Électronique
63,Homme,26501.288653807907,3,Beauté
43,Homme,35575.81396338691,9,Alimentaire
19,Femme,68773.16063226023,4,Alimentaire
42,Femme,88405.1422014776,2,Vestimentaire
58,Femme,45999.99964062302,2,Vestimentaire
34,Homme,30578.653913659615,4,Alimentaire
66,Homme,98271.34777369956,2,Beauté
65,Homme,69620.16054445764,6,Beauté
25,Homme,50804.76635567434,6,Vestimentaire
38,Femme,34311.8711498709,10,Électronique
65,Femme,71655.75258007256,5,Beauté
22,Homme,73875.61460173628,7,Vestimentaire
53,Homme,61473.749802862585,5,Vestimentaire
67,Homme,77765.60156661316,4,Électronique
63,Femme,35643.89586372159,2,Vestimentaire
32,Femme,33993.94815077115,1,Beauté
52,Femme,77663.93319596813,3,Beauté
29,Homme,80009.64517017898,5,Électronique
34,Homme,29847.091408148386,9,Vestimentaire
40,Homme,64659.1424073654,2,Vestimentaire
47,Femme,44793.15419042864,2,Alimentaire
49,Femme,55436.254853718994,5,Électronique
27,Homme,99264.7316523174,6,Vestimentaire
27,Femme,76914.33340392384,6,Vestimentaire
44,Femme,81835.76214188634,4,Alimentaire
51,Homme,69058.66575179718,2,Vestimentaire
34,Femme,58470.115327902284,2,Électronique
39,Homme,96501.70211715584,1,Alimentaire
35,Femme,43751.697331513904,1,Électronique
42,Homme,41495.124027386315,2,Vestimentaire
57,Homme,26709.590092980776,1,Beauté
67,Homme,64589.24393653509,8,Électronique
19,Homme,59519.23494467031,7,Beauté
35,Homme,77752.27386190312,10,Vestimentaire
51,Homme,69326.59568182126,10,Beauté
40,Femme,65568.95095902286,3,Alimentaire
50,Homme,39692.75950978314,5,Alimentaire
59,Femme,67798.51897169437,2,Électronique
64,Femme,21292.41686061798,4,Alimentaire
33,Homme,44003.18669757938,7,Vestimentaire
64,Homme,46989.28378418587,9,Vestimentaire
38,Femme,55984.32791035043,5,Beauté
36,Homme,37647.74835439073,8,Vestimentaire
58,Homme,60561.17956821922,4,Beauté
36,Femme,60430.845302277965,3,Vestimentaire
62,Homme,70539.77432719702,3,Électronique
25,Homme,51397.10013648111,5,Alimentaire
37,Homme,33012.50998195844,3,Alimentaire
48,Homme,71572.99627646066,6,Beauté
42,Homme,88961.04013245445,1,Beauté
41,Femme,95131.344678675,9,Alimentaire
66,Femme,70916.69116245743,9,Beauté
62,Homme,70458.19497855435,10,Alimentaire
18,Femme,98084.72780015574,7,Électronique
26,Homme,67856.3373772969,6,Beauté
24,Homme,66984.10246041289,1,Alimentaire
24,Femme,38271.44687093954,3,Vestimentaire
31,Femme,27522.39284315863,4,Électronique
40,Homme,54786.0791254005,6,Vestimentaire
33,Femme,37839.963221418184,3,Alimentaire
51,Homme,22384.997838742234,5,Alimentaire
22,Homme,97076.17758984039,9,Vestimentaire
45,Homme,24718.658854127272,1,Électronique
61,Homme,66988.34719942417,9,Électronique
43,Homme,49060.81772370215,6,Vestimentaire
58,Homme,72688.26833614838,3,Beauté
20,Homme,70294.64601452553,7,Alimentaire
21,Homme,60256.03373047025,10,Beauté
22,Homme,45678.87884367468,5,Beauté
21,Homme,30068.292991557726,1,Électronique
18,Femme,97344.81140252657,10,Beauté
54,Femme,96072.892065325,1,Beauté
40,Femme,51292.17804297102,9,Électronique
45,Homme,76288.32845332075,10,Alimentaire
46,Femme,47803.398535646294,10,Vestimentaire
20,Homme,38281.827735668776,6,Vestimentaire
47,Homme,62470.86967188007,3,Vestimentaire
39,Homme,92933.24929968682,8,Vestimentaire
35,Femme,94924.6333786042,8,Électronique
47,Homme,85214.3257249324,2,Alimentaire
26,Femme,95763.45129194952,2,Alimentaire
49,Femme,61090.86027529913,4,Beauté
35,Homme,52174.443040589045,1,Alimentaire
20,Femme,23225.858453250064,9,Vestimentaire
69,Femme,46564.98619410467,4,Alimentaire
49,Homme,40341.831821563865,5,Vestimentaire
37,Femme,65285.21948257344,1,Beauté
34,Homme,94863.7813082981,4,Vestimentaire
34,Homme,25802.86293631139,2,Beauté
51,Homme,81153.14412165996,2,Vestimentaire
54,Femme,57983.72400905599,5,Alimentaire
49,Homme,84418.07938848053,9,Beauté
67,Femme,90888.77258416239,10,Beauté
64,Homme,86761.4356332146,2,Électronique
51,Homme,56279.89297965462,4,Alimentaire
65,Homme,52992.58492790667,5,Vestimentaire
35,Femme,46416.68033787247,3,Électronique
50,Femme,82763.40644170731,1,Alimentaire
58,Femme,44597.60674648889,9,Alimentaire
61,Femme,44285.514856945614,5,Vestimentaire
68,Homme,62260.99760915458,1,Vestimentaire
55,Homme,53421.043076178954,7,Vestimentaire
19,Homme,28480.324711208737,8,Électronique
60,Femme,40237.7905999552,2,Beauté
67,Femme,91879.18831216767,8,Vestimentaire
69,Homme,30716.151482773854,6,Beauté
33,Femme,39041.552221955295,4,Alimentaire
64,Femme,26777.445804742703,10,Beauté
22,Femme,31889.09711468848,7,Beauté
37,Homme,37929.88969206399,2,Beauté
24,Homme,58298.72586424634,4,Alimentaire
54,Homme,51993.76417218257,4,Beauté
52,Femme,66145.11102521449,1,Électronique
68,Femme,72956.60341303016,7,Alimentaire
31,Femme,42478.34143123363,9,Vestimentaire
49,Femme,40437.910451475545,5,Électronique
20,Femme,67746.11190554008,5,Beauté
33,Femme,51332.01714037194,10,Électronique
53,Homme,64894.990254143246,6,Vestimentaire
27,Homme,97822.4332276768,2,Beauté
58,Femme,86275.85549844605,2,Électronique
38,Femme,35320.021584519214,6,Alimentaire
22,Homme,77444.72812109857,8,Beauté
20,Femme,32924.77491634051,6,Alimentaire
23,Femme,33206.43974445843,1,Vestimentaire
65,Femme,66642.76395778588,4,Électronique
25,Femme,73108.7694266072,1,Électronique
61,Homme,64019.97238637959,1,Alimentaire
47,Femme,27622.00869987181,10,Vestimentaire
43,Homme,20557.109972617927,8,Vestimentaire
31,Femme,27557.606406391875,4,Alimentaire
65,Homme,97746.47075926205,10,Beauté
43,Homme,75630.68838519618,3,Électronique
31,Homme,32032.117198006265,3,Vestimentaire
32,Homme,59413.265784612966,3,Électronique
60,Femme,35736.00643413717,1,Électronique
34,Homme,42480.20105045027,1,Alimentaire
24,Homme,34747.554955247964,8,Électronique
65,Homme,76300.06135808166,7,Beauté
29,Femme,25227.544113361517,9,Beauté
65,Homme,59924.214573949444,8,Beauté
41,Femme,43022.65976381418,10,Alimentaire
57,Femme,37380.642529273,8,Vestimentaire
68,Femme,45944.79533601883,6,Électronique
54,Homme,38851.46611880566,4,Alimentaire
50,Femme,92411.29640170843,6,Électronique
69,Femme,70500.90004384969,3,Électronique
59,Homme,37975.118386814196,9,Électronique
29,Femme,48152.859246093096,7,Alimentaire
23,Femme,73663.96999901754,3,Alimentaire
51,Femme,58115.160765170265,2,Alimentaire
29,Femme,52451.95269896681,8,Alimentaire
44,Femme,74152.95040110963,10,Électronique
32,Femme,85524.0641073143,4,Vestimentaire
24,Femme,96198.43192845817,8,Électronique
27,Homme,80910.8409692687,3,Alimentaire
30,Femme,58338.47265262397,7,Électronique
43,Femme,57988.29143701221,6,Vestimentaire
21,Femme,45238.61769993088,7,Beauté
51,Femme,88950.00915619031,1,Électronique
30,Homme,95374.42216703044,7,Beauté
45,Homme,50775.00130350728,8,Vestimentaire
53,Femme,68850.6811421735,9,Électronique
24,Homme,83778.50204754651,10,Beauté
20,Homme,35945.10474144279,5,Beauté
47,Homme,26750.899084920697,6,Alimentaire
28,Femme,68248.6925040455,2,Vestimentaire
56,Femme,97785.59042580416,9,Vestimentaire
49,Homme,34553.4722019149,4,Alimentaire
32,Femme,55031.92046793448,3,Électronique
23,Femme,57944.86301169272,6,Beauté
65,Homme,96525.13342337514,6,Vestimentaire
58,Homme,52102.84013117742,8,Vestimentaire
25,Femme,33349.65733474474,6,Électronique
34,Femme,53539.98538945645,4,Beauté
64,Femme,46462.40196125909,9,Beauté
64,Homme,30632.186787995703,3,Vestimentaire
65,Homme,26283.20161190041,10,Vestimentaire
38,Homme,93761.71991244666,5,Beauté
61,Homme,90162.30086535205,7,Électronique
22,Femme,99994.84980228345,1,Beauté
50,Homme,74512.59366589347,9,Beauté
50,Homme,62682.8046072213,1,Vestimentaire
50,Femme,66411.09482570794,10,Beauté
28,Femme,84138.84488016978,1,Beauté
29,Femme,24532.920273720505,3,Électronique
59,Homme,43355.6521366702,8,Alimentaire
53,Homme,38764.89988325091,3,Électronique
49,Femme,58844.69336045666,9,Alimentaire
50,Homme,51857.351828774845,1,Électronique
65,Homme,50268.82793232596,9,Alimentaire
19,Femme,29549.081943711997,6,Électronique
56,Femme,34102.47663046327,7,Beauté
67,Homme,26104.708308084348,7,Vestimentaire
41,Femme,84489.45811307195,6,Électronique
33,Homme,64874.19308421374,2,Électronique
20,Femme,41611.663672609466,3,Vestimentaire
55,Femme,53183.03514101678,9,Électronique
29,Homme,93861.04896878204,8,Vestimentaire
51,Femme,38775.498485506454,8,Beauté
59,Femme,55549.0349371182,6,Beauté
65,Homme,82070.11163046327,6,Beauté
30,Femme,98179.19534154932,6,Beauté
24,Femme,80267.18254125057,10,Alimentaire
28,Homme,81845.52339150735,2,Alimentaire
59,Homme,52785.00831477765,6,Beauté
58,Femme,42910.22023231497,9,Alimentaire
66,Homme,61224.288074447344,4,Alimentaire
64,Femme,60367.73375814336,9,Alimentaire
46,Femme,69143.22989249775,7,Beauté
50,Femme,50145.14367998861,1,Vestimentaire
48,Femme,68910.20931225212,2,Électronique
44,Homme,31276.99255539187,7,Alimentaire
21,Femme,77296.05503851149,3,Vestimentaire
69,Femme,33163.07994516239,1,Beauté
66,Femme,20079.522700708752,6,Beauté
50,Homme,32632.19343357676,8,Alimentaire
41,Femme,30790.792274431027,5,Beauté
36,Homme,64137.0740805304,2,Alimentaire
39,Homme,41854.05102557097,10,Beauté
32,Femme,42777.19705096369,6,Vestimentaire
60,Femme,99478.79089668863,2,Beauté
61,Homme,21240.969116619464,3,Alimentaire
69,Femme,65121.234845216015,9,Électronique
52,Homme,71194.44126261088,3,Vestimentaire
22,Homme,75651.84257156015,4,Alimentaire
64,Homme,38065.297417320326,4,Vestimentaire
60,Homme,89504.51928985983,1,Beauté
18,Homme,49705.35858971007,3,Vestimentaire
43,Femme,67700.45771057048,6,Vestimentaire
25,Femme,79270.14820004458,1,Beauté
37,Homme,89840.01317514213,9,Vestimentaire
68,Homme,28227.159339840924,4,Alimentaire
32,Homme,63021.21122537626,10,Électronique
51,Homme,27149.68075396112,9,Vestimentaire
40,Femme,94498.61647805019,10,Alimentaire
21,Homme,70241.5424303005,7,Alimentaire
56,Femme,29461.844138908822,9,Alimentaire
23,Femme,94568.91286934381,8,Beauté
56,Femme,78632.02116870205,9,Vestimentaire
41,Femme,78801.45998399642,8,Vestimentaire
30,Femme,25836.315491116693,1,Vestimentaire
32,Femme,94418.503896693,2,Alimentaire
54,Femme,61819.91375303462,6,Vestimentaire
60,Femme,54488.09715448472,9,Alimentaire
23,Homme,40432.21892208203,5,Alimentaire
44,Femme,28013.86874117893,2,Vestimentaire
48,Homme,63210.63689040097,10,Vestimentaire
24,Femme,92076.64631459149,6,Vestimentaire
49,Femme,57090.984667497236,10,Alimentaire
37,Homme,26312.589204255473,2,Vestimentaire
68,Homme,36318.752750912565,5,Vestimentaire
53,Homme,52520.174439858776,9,Beauté
35,Femme,53461.80837365802,1,Beauté
35,Homme,49082.646303047426,1,Électronique
28,Femme,51764.210267869064,4,Alimentaire
65,Homme,84261.33145747389,9,Vestimentaire
56,Femme,88469.0191014321,2,Vestimentaire
53,Homme,22454.01533132738,7,Alimentaire
60,Homme,63628.5165843138,3,Électronique
32,Femme,94989.98285613373,10,Vestimentaire
43,Femme,98520.14601958876,9,Beauté
47,Femme,66949.8106761442,10,Vestimentaire
69,Femme,45098.412687648015,3,Vestimentaire
58,Homme,58297.61617626967,9,Électronique
22,Homme,41051.446149328985,4,Électronique
34,Homme,67307.54941868056,3,Vestimentaire
46,Femme,45283.67945563424,4,Alimentaire
23,Homme,99952.90382705817,2,Beauté
48,Femme,89253.99892473647,5,Vestimentaire
63,Femme,26524.838689795604,4,Alimentaire
36,Homme,57448.41009107051,9,Beauté
33,Homme,92520.52366745991,8,Alimentaire
50,Homme,68495.5146001107,8,Alimentaire
64,Femme,28525.25915782211,9,Beauté
29,Homme,45048.26498691997,4,Électronique
58,Homme,75717.20835715899,1,Alimentaire
54,Femme,47186.452001450525,7,Beauté
51,Homme,55287.681938916154,3,Vestimentaire
39,Homme,63497.39195265726,1,Alimentaire
58,Femme,97629.1092236938,4,Alimentaire
20,Femme,35545.40504833356,6,Électronique
31,Femme,73088.1946358033,10,Beauté
36,Femme,52509.94677680109,4,Électronique
37,Homme,52671.80241214676,6,Électronique
52,Homme,66730.36681938401,8,Électronique
45,Homme,41468.792120362734,10,Électronique
27,Homme,61551.11486749278,4,Électronique
34,Femme,78777.16137147047,4,Électronique
54,Homme,70879.70699589679,7,Alimentaire
23,Femme,71502.12367702124,5,Alimentaire
45,Femme,67199.05542667124,3,Vestimentaire
65,Homme,41912.58648541907,6,Alimentaire
47,Femme,78535.19589222872,7,Alimentaire
56,Femme,21122.088071089147,6,Vestimentaire
19,Femme,45291.323026813814,6,Électronique
58,Homme,67576.28610757938,5,Alimentaire
22,Homme,60740.33300563521,2,Vestimentaire
45,Homme,80979.45889581964,6,Beauté
46,Homme,82688.34936079493,9,Électronique
22,Femme,61479.57127922641,10,Alimentaire
41,Femme,54391.24433057283,3,Beauté
31,Homme,28478.58092884491,8,Électronique
49,Femme,43069.285285404265,5,Électronique
49,Homme,70075.35010133177,10,Électronique
46,Homme,95696.67542662185,9,Beauté
67,Femme,66087.29974423614,6,Électronique
48,Homme,73116.08667224488,4,Électronique
46,Homme,55406.33118969863,3,Électronique
65,Femme,26743.960347925626,7,Vestimentaire
25,Femme,56144.26598187809,5,Beauté
47,Femme,85260.81651015363,1,Beauté
42,Femme,27528.226754809875,3,Alimentaire
21,Homme,45975.033710657735,4,Vestimentaire
18,Homme,72129.95865527049,3,Vestimentaire
55,Homme,22544.52887776714,1,Électronique
45,Femme,67491.93576327746,8,Vestimentaire
54,Femme,29828.928229565237,4,Électronique
65,Femme,64746.83688224678,8,Vestimentaire
60,Femme,41922.93611185679,2,Alimentaire
67,Femme,52055.78398450845,9,Beauté
66,Femme,80664.83357525452,9,Vestimentaire
46,Femme,75551.84718822033,10,Vestimentaire
32,Homme,50022.57917275738,4,Alimentaire
62,Femme,47642.01860796936,4,Électronique
39,Femme,57699.56370407093,4,Beauté
65,Femme,48154.25663168423,1,Beauté
33,Homme,42973.92748664053,7,Électronique
31,Femme,58423.64836837231,8,Électronique
41,Homme,97696.32933466985,10,Beauté
39,Femme,89382.20636169828,4,Électronique
63,Femme,50435.45666083542,9,Alimentaire
50,Homme,52021.00323184523,8,Électronique
68,Femme,68100.3953544395,4,Alimentaire
54,Homme,75831.03045361664,8,Alimentaire
59,Homme,36109.13415404064,9,Électronique
44,Femme,55798.44720901167,6,Beauté
25,Homme,31076.081671620326,4,Électronique
24,Homme,29456.203138265584,7,Vestimentaire
52,Homme,72525.03882119313,9,Alimentaire
45,Femme,55115.034248499214,10,Alimentaire
64,Homme,84268.61343099474,1,Vestimentaire
40,Homme,29747.531150130635,9,Beauté
57,Homme,22156.333657118274,8,Beauté
42,Homme,42030.37243806086,1,Électronique
43,Homme,65531.72665201511,10,Vestimentaire
28,Femme,63671.11816459364,3,Vestimentaire
51,Femme,93919.9115679882,7,Beauté
55,Femme,33310.32019435176,9,Alimentaire
63,Femme,31704.340163083318,7,Vestimentaire
41,Femme,39157.19217762447,2,Alimentaire
60,Homme,79016.88737700909,5,Beauté
45,Femme,58114.136544084125,5,Vestimentaire
54,Femme,50429.23155717105,5,Vestimentaire
66,Homme,47370.57013561553,9,Électronique
33,Homme,26925.51677163448,5,Alimentaire
48,Femme,65106.55296378321,10,Alimentaire
25,Femme,30383.9942389531,3,Électronique
63,Femme,89192.09612689861,4,Vestimentaire
21,Homme,26737.898315467897,1,Alimentaire
19,Homme,37349.579141939495,9,Alimentaire
40,Homme,55106.38635116524,4,Électronique
57,Femme,21999.664660388626,2,Vestimentaire
41,Homme,49534.5850301154,6,Beauté
64,Femme,69515.42327852099,6,Alimentaire
59,Homme,65281.58501640913,5,Électronique
27,Homme,54519.01661873698,2,Électronique
49,Femme,26040.57132340678,2,Électronique
60,Femme,60179.23935237679,4,Électronique
29,Femme,27887.00332706255,7,Électronique
33,Homme,51654.1969262211,5,Électronique
44,Homme,90376.2079624231,8,Alimentaire
21,Femme,28267.80993517654,6,Alimentaire
55,Femme,70615.41611026111,5,Beauté
32,Femme,62680.225622492006,4,Alimentaire
39,Homme,55026.02550247191,3,Beauté
56,Femme,30721.083167119465,4,Beauté
33,Homme,35788.056803232364,10,Vestimentaire
57,Homme,26219.19375932217,1,Vestimentaire
25,Homme,33984.496670030916,8,Beauté
66,Homme,70314.30898637083,2,Vestimentaire
36,Homme,36194.338681572284,10,Électronique
54,Homme,88539.52128696705,5,Alimentaire
44,Femme,81854.74967444653,3,Beauté
68,Homme,96906.8910553419,3,Beauté
66,Homme,73171.84613026469,2,Alimentaire
28,Homme,75726.13332104447,9,Alimentaire
39,Femme,28953.72876994039,8,Beauté
52,Femme,25470.22816891251,5,Électronique
18,Femme,43848.96072395546,2,Électronique
28,Femme,66997.05487456657,3,Vestimentaire
49,Femme,74786.57835689408,5,Électronique
37,Homme,82034.40612176577,4,Alimentaire
65,Homme,47575.13687650206,7,Beauté
67,Femme,37308.66046021795,9,Beauté
28,Homme,27595.499917736746,1,Alimentaire
54,Homme,47485.44310485963,9,Alimentaire
51,Homme,54518.53036107808,2,Beauté
18,Homme,55771.07333719748,8,Beauté
45,Femme,70761.11885643203,1,Beauté
19,Homme,67802.36666199571,6,Électronique
52,Femme,73652.59961770542,10,Électronique
61,Femme,91540.68063978967,2,Alimentaire
33,Femme,20663.32642524518,10,Vestimentaire
68,Femme,23357.68761663214,1,Alimentaire
27,Femme,26993.51509967224,10,Électronique
59,Homme,51509.314882367275,1,Alimentaire
21,Homme,31429.28409914428,7,Vestimentaire
31,Homme,55181.59304617239,4,Électronique
27,Femme,21652.088205305492,10,Alimentaire
69,Femme,70261.40392183518,4,Vestimentaire
54,Homme,93276.18983164568,7,Vestimentaire
59,Homme,42008.3879261229,1,Électronique
44,Homme,67633.07605971314,5,Beauté
29,Femme,84994.74142681403,10,Électronique
18,Homme,58403.95781380483,5,Beauté
34,Homme,47007.99868918356,3,Beauté
21,Femme,39254.68758842879,5,Alimentaire
58,Femme,65642.97016543707,9,Électronique
36,Femme,21776.654780141707,1,Alimentaire
